monster,internal_move,public_intent,evidence_level,unknown_kind,source,source_url,source_checked,game_differential_verified
RED_SLAVER,RED_SLAVER_ENTANGLE,DEBUFF,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1017,,False,False
RED_SLAVER,RED_SLAVER_SCRAPE,ATTACK_DEBUFF,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1022,,False,False
RED_SLAVER,RED_SLAVER_STAB,ATTACK,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1028,,False,False
SENTRY,SENTRY_BEAM,ATTACK,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1035,,False,False
SENTRY,SENTRY_BOLT,DEBUFF,UI_SOURCE_VERIFIED,,MonsterSpecific.cpp:1041; https://slaythespire.wiki.gg/wiki/Sentry wiki: Bolt 'shown with a debuff intent icon',https://slaythespire.wiki.gg/wiki/Sentry,True,False
SHIELD_GREMLIN,SHIELD_GREMLIN_PROTECT,DEFEND,UI_SOURCE_VERIFIED,,MonsterSpecific.cpp:1073; https://slaythespire.wiki.gg/wiki/Shield_Gremlin wiki: 'displays the defend intent icon',https://slaythespire.wiki.gg/wiki/Shield_Gremlin,True,False
SHIELD_GREMLIN,SHIELD_GREMLIN_SHIELD_BASH,ATTACK,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1083,,False,False
SPIKE_SLIME_M,SPIKE_SLIME_M_LICK,DEBUFF,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1172,,False,False
SPIKE_SLIME_M,SPIKE_SLIME_M_FLAME_TACKLE,ATTACK_DEBUFF,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1178,,False,False
SPIKE_SLIME_L,SPIKE_SLIME_L_FLAME_TACKLE,ATTACK_DEBUFF,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1187,,False,False
SPIKE_SLIME_L,SPIKE_SLIME_L_LICK,DEBUFF,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1193,,False,False
SPIKE_SLIME_L,SPIKE_SLIME_L_SPLIT,UNKNOWN,UI_SOURCE_VERIFIED,GAME_SHOWS_UNKNOWN,MonsterSpecific.cpp:1198; https://slaythespire.wiki.gg/wiki/Acid_Slime large slime Split family: unknown intent icon,https://slaythespire.wiki.gg/wiki/Acid_Slime,True,False
SPIKE_SLIME_S,SPIKE_SLIME_S_TACKLE,ATTACK,ENGINE_DERIVED_ONLY,,MonsterSpecific.cpp:1204,,False,False
